"created_at","date","username","tweet"
"1670171244000","2022-12-04 11:27:24","Kanek33","Wordle 533 3/6  🟩⬜🟨⬜🟨 🟩🟩🟩⬜⬜ 🟩🟩🟩🟩🟩"
"1670171246000","2022-12-04 11:27:26","JusticeWithNoBS","Wordle 533 2/6  🟩🟨⬜⬜🟩 🟩🟩🟩🟩🟩Not sure how I do this…intuition"
"1670171249000","2022-12-04 11:27:29","satisfiabiliti","Wordle 534 3/6 ⬜⬜🟨⬜ 🟨⬜⬜🟩 🟩🟩🟩🟩"
"1670171254000","2022-12-04 11:27:34","LEEDbuilder","Wordle 533 3/6*  🟨🟨⬜⬜⬜ ⬜⬜🟨🟩🟨 🟩🟩🟩🟩🟩"
"1670171254000","2022-12-04 11:27:34","wookieeballs","Wordle 533 3/6  ⬛⬛🟩🟩🟩 ⬛⬛🟩🟩🟩 🟩🟩🟩🟩🟩"
"1670171255000","2022-12-04 11:27:35","rottenlouie","Wordle 533 3/6  ⬛🟨🟨🟩⬛ 🟩⬛⬛🟩🟩 🟩🟩🟩🟩🟩"
"1670171255000","2022-12-04 11:27:35","juveniles","Wordle 534 6/6  ⬛🟨⬛⬛⬛ ⬛⬛⬛🟩⬛ ⬛🟩⬛⬛⬛ ⬛🟩🟨🟩⬛ ⬛🟩⬛🟩🟩 🟩🟩🟩🟩🟩"
"1670171257000","2022-12-04 11:27:37","TheNeonSense","@octobergloom Wordle 533 3/6  ⬛🟨⬛🟨⬛ 🟨🟨🟨🟨⬛ 🟩🟩🟩🟩🟩"
"1670171259000","2022-12-04 11:27:39","EldawenEmileia","Wordle 533 2/6  ⬛🟩🟨🟨⬛ 🟩🟩🟩🟩🟩  Heck yes!"
"1670171261000","2022-12-04 11:27:41","thecoinDriver","Wordle 533 3/6  🟩🟨🟩⬛🟩 🟩⬛🟩🟩🟩 🟩🟩🟩🟩🟩  i skipped 532!"
"1670171263000","2022-12-04 11:27:43","bretnason","Wordle 533 2/6  ⬜🟨🟨🟩🟩 🟩🟩🟩🟩🟩  🎉"
"1670171265000","2022-12-04 11:27:45","jaz2kX","Wordle 533 3/6  🟩⬛🟨⬛🟨 🟩🟩🟩⬛⬛ 🟩🟩🟩🟩🟩"
"1670171269000","2022-12-04 11:27:49","Alesta2212","@KingAkkord Wordle 533 4/6*  ⬛🟦⬛🟧⬛ ⬛⬛🟧🟧🟧 ⬛⬛🟧🟧🟧 🟧🟧🟧🟧🟧"
"1670171269000","2022-12-04 11:27:49","katwoody","Wordle 533 2/6  🟩🟩⬜🟨⬜ 🟩🟩🟩🟩🟩"
"1670171270000","2022-12-04 11:27:50","angelmaidanna","Wordle 533 3/6  ⬜🟨⬜⬜🟩 ⬜⬜🟨🟩🟩 🟩🟩🟩🟩🟩"
"1670171279000","2022-12-04 11:27:59","AronBender","Wordle 533 2/6*  🟧⬛🟦⬛🟦 🟧🟧🟧🟧🟧"
"1670171284000","2022-12-04 11:28:04","WesMakin","@bestalbum95 It’s only a giveaway if you’ve seen it. As it was, I Googled [ACTRESS] in frame three, and went, “well, that’s it.” I made a “for fun, but not good,” second guess in Wordle, knocking me down to a four.  Wordle 533 4/6  ⬜⬜🟨🟩⬜ ⬜⬜⬜🟩🟩 ⬜⬜🟩🟩🟩 🟩🟩🟩🟩🟩"
"1670171299000","2022-12-04 11:28:19","hooch21","Wordle 533 3/6  ⬜⬜⬜⬜⬜ ⬜🟨🟨🟩🟨 🟩🟩🟩🟩🟩  Tough one!"
"1670171300000","2022-12-04 11:28:20","Ascom","Wordle 534 4/6  ⬜🟨⬜🟩⬜ 🟩🟩⬜🟩🟩 🟩🟩⬜🟩🟩 🟩🟩🟩🟩🟩"
"1670171300000","2022-12-04 11:28:20","Anton_P_Nym","Wordle 533 2/6  ⬜🟨🟨🟩⬜ 🟩🟩🟩🟩🟩"
"1670171301000","2022-12-04 11:28:21","nuclear94","@heyprofbow Wow. Was harder for me.   Wordle 533 4/6  ⬜⬜🟩🟩🟩 ⬜⬜🟩🟩🟩 🟩⬜🟩🟩🟩 🟩🟩🟩🟩🟩"
"1670171323000","2022-12-04 11:28:43","caudelac","Wordle 533 6/6  ⬜🟨🟨⬜🟩 ⬜🟨🟨⬜🟩 ⬜⬜⬜🟩🟩 🟩⬜🟩🟩🟩 🟩⬜🟩🟩🟩 🟩🟩🟩🟩🟩  The Twin Suns pulled Camilla and Cassilda by their hands high above the city, and they filled the sky with their glowing, a golden jewel in the perpetual fog."
"1670171324000","2022-12-04 11:28:44","lynnos","Wordle 533 2/6  Yuuusss - beat that, @mustaphadance  ⬜🟨🟨🟩⬜ 🟩🟩🟩🟩🟩"
"1670171324000","2022-12-04 11:28:44","TaraChowdhury5","Wordle 533 3/6  ⬛⬛🟩⬛⬛ ⬛🟨🟩⬛⬛ 🟩🟩🟩🟩🟩"
"1670171325000","2022-12-04 11:28:45","keithpurvis_sr","Wordle 533 3/6  ⬜🟨⬜⬜🟩 ⬜⬜🟩🟩🟩 🟩🟩🟩🟩🟩  Anybody still playing Wordle"
"1670171328000","2022-12-04 11:28:48","MikeyR1968","Wordle 533 2/6  ⬜⬜🟨🟩🟩 🟩🟩🟩🟩🟩"
"1670171330000","2022-12-04 11:28:50","bigwilstyle","#Wordle533   When your starter word finally hits!  Wordle 533 1/6  🟩🟩🟩🟩🟩"
"1670171339000","2022-12-04 11:28:59","grumpyolerunner","Wordle 533 2/6  🟩⬛🟩⬛🟨 🟩🟩🟩🟩🟩"
"1670171339000","2022-12-04 11:28:59","JackValJack","Todays Wordle 🟩🟨⬛️⬛️🟩 🟩⬛️🟩🟩🟩 🟩🟩🟩🟩🟩"
"1670171340000","2022-12-04 11:29:00","MsJG","#Wordle 533 3/6*  ⬛⬛🟨🟩🟩 ⬛🟨⬛🟩🟩 🟩🟩🟩🟩🟩"
"1670171345000","2022-12-04 11:29:05","Greg40800368","Wordle 534 4/6  ⬜⬜⬜⬜🟨 ⬜🟩⬜🟩⬜ ⬜🟩🟨🟩⬜ 🟩🟩🟩🟩🟩"
"1670171351000","2022-12-04 11:29:11","SpaceCadetYarn","Wordle 533 4/6*  ⬛🟨🟨🟨🟨 🟨🟨🟨🟨⬛ ⬛🟨🟨🟨🟨 🟩🟩🟩🟩🟩 I do not think I’ve ever had a wilder Wordle journey than this one!"